iter	Passed	Remaining
0	0	7
1	0	7
2	0	6
3	0	5
4	0	5
5	0	5
6	0	4
7	0	4
8	0	4
9	0	4
10	0	4
11	0	4
12	0	4
13	0	4
14	0	4
15	0	4
16	0	4
17	0	4
18	0	3
19	0	3
20	1	3
21	1	3
22	1	3
23	1	3
24	1	3
25	1	3
26	1	3
27	1	3
28	1	3
29	1	3
30	1	3
31	1	3
32	1	3
33	1	3
34	1	3
35	1	3
36	1	3
37	1	2
38	1	2
39	1	2
40	1	2
41	2	2
42	2	2
43	2	2
44	2	2
45	2	2
46	2	2
47	2	2
48	2	2
49	2	2
50	2	2
51	2	2
52	2	2
53	2	2
54	2	2
55	2	2
56	2	1
57	2	1
58	2	1
59	2	1
60	2	1
61	2	1
62	2	1
63	2	1
64	2	1
65	3	1
66	3	1
67	3	1
68	3	1
69	3	1
70	3	1
71	3	1
72	3	1
73	3	1
74	3	1
75	3	1
76	3	1
77	3	0
78	3	0
79	3	0
80	3	0
81	3	0
82	3	0
83	3	0
84	3	0
85	3	0
86	3	0
87	4	0
88	4	0
89	4	0
90	4	0
91	4	0
92	4	0
93	4	0
94	4	0
95	4	0
96	4	0
97	4	0
98	4	0
99	4	0
